classifier,trial1_accuracy,trial1_precision,trial2_accuracy,trial2_precision,trial3_accuracy,trial3_precision
KNN,0.826701,0.824675,0.826361,0.87218,0.789371,0.871212
RF,0.818367,1,0.830527,1,0.814371,1
LR,0.830867,0.812903,0.805612,0.840278,0.814201,0.79085
DT,0.735544,0.744048,0.813946,0.969925,0.698469,0.879195
