classifier,trial1_accuracy,trial1_precision,trial2_accuracy,trial2_precision,trial3_accuracy,trial3_precision
KNN,0.801045,0.857567,0.801058,0.851533,0.803718,1
RF,0.81033,1,0.803063,1,0.807698,1
LR,0.815621,0.855315,0.812992,0.860153,0.811681,0.855186
DT,0.786451,0.903418,0.693648,0.909357,0.687677,0.898356
